Monthly_Inflow,Monthly_Outflow,Gst_compliance_score,Ecommerce_sales,Supplier_payments,Invoice_issued,Invoice_amount,Employee_count,Asset_value,Business_age,Business_size,Credit_score
7401.95,5740.15,41.01,1101.24,3435.49,8,926.62,2,19492.03,0,micro,411.10500750375184
20651.03,12773.15,63.01,6247.56,6860.99,13,1563.46,29,73955.19,5,small,541.8030165082541
14877.9,8637.06,48.17,764.36,6573.25,11,1457.21,11,25305.33,1,small,456.82800900450223
32720.53,15400.34,68.5,16839.19,8739.84,20,1576.91,46,68858.51,4,small,571.9220060030015
29654.57,17128.77,62.89,15273.87,9487.7,18,1717.26,35,49613.14,6,small,548.1860180090044
28608.27,21806.46,51.98,8791.93,14246.83,16,1669.67,21,42463.94,6,small,501.6890045022511
8325.87,3564.88,52.43,2832.05,2023.29,10,945.05,16,26407.24,4,small,501.3920060030015
17970.52,9817.22,56.25,5573.94,5864.07,11,1593.2,27,53117.54,4,small,521.2990195097549
43314.39,21048.45,61.36,7836.67,11873.36,28,1501.75,39,59372.48,8,small,554.715007503752
40331.49,20008.08,69.14,8151.63,10242.94,24,1626.72,46,79657.01,7,small,568.2180090045023
10962.38,9176.43,41.73,836.57,5671.71,12,967.01,5,17159.76,4,micro,413.8710105052526
100565.12,37274.47,84.69,29127.81,21391.8,54,1875.5,65,171271.54,9,medium,702.654012006003
11057.63,8368.38,52.78,2487.89,5539.34,11,1027.85,12,23495.08,5,small,469.9850075037519
9071.76,4325.15,46.53,2406.95,2763.79,13,680.63,5,13088.42,0,micro,435.29401200600296
84871.76,47679.28,85.01,31812.89,24526.16,44,1942.29,59,160671.56,10,medium,684.8070135067534
68169.69,22703.38,69.52,10515.17,12266.77,41,1682.23,53,251208.14,10,medium,672.7700150075037
56142.69,26946.76,68.47,28024.1,12904.27,31,1795.02,45,98179.35,9,small,592.0410105052526
9920.74,5962.36,47.09,456.91,3667.2,7,1430.95,15,62334.56,2,small,476.36800900450226
62006.19,25958.72,70.1,36255.58,15703.04,37,1690.39,48,230074.06,10,small,618.4730165082542
21252.48,10391.61,55.54,6590.81,5861.52,18,1187.84,26,46676.35,4,small,517.1120210105053
6322.67,3911.15,48.52,1992.29,2502.73,11,592.73,1,14384.94,0,micro,422.07701350675336
16722.49,9381.44,47.86,1480.18,5567.23,10,1699.05,17,17195.26,3,small,461.49001500750376
12377.83,7025.49,48.02,4410.76,5440.03,11,1072.71,1,15801.81,0,micro,439.34301650825415
42551.96,19674.53,75.46,8317.6,10535.66,26,1701.6,48,131138.11,6,small,589.374012006003
44119.07,12065.82,75.14,12122.45,8046.17,29,1531.74,54,307217.64,12,medium,701.0260180090045
9202.3,4813.18,56.47,2565.29,3123.46,12,883.06,5,25952.46,0,micro,466.9410105052526
24950.31,11144.36,54.29,11402.16,6233.47,20,1270.6,25,105983.73,4,small,538.1750225112556
22635.0,13528.27,63.5,5343.93,9453.19,14,1681.34,36,68898.85,9,small,544.988024012006
12642.63,9504.2,45.41,2251.13,7388.43,12,996.43,7,27589.61,1,small,446.20601800900454
42850.47,23737.5,70.34,8395.41,15791.98,26,1673.6,52,133653.33,8,medium,630.4290195097549
11684.26,9472.34,47.33,4695.8,6588.13,10,1197.01,7,28251.52,0,small,461.9790195097549
6849.19,4702.34,50.51,68.49,3398.99,9,820.39,1,12551.48,0,micro,400.7620210105053
9832.37,5819.12,45.09,669.22,4571.31,10,929.5,11,21431.56,0,small,446.3850225112556
17594.12,13660.71,53.66,5596.22,10129.45,16,1180.68,20,57757.37,2,small,502.074012006003
6161.52,4453.53,47.4,1475.48,2688.06,7,879.91,12,33847.72,2,small,465.328024012006
33106.07,18565.98,78.66,11787.73,9125.25,24,1338.99,54,259644.86,7,medium,658.9320210105052
15230.02,7557.2,56.65,1872.93,4428.87,9,1636.32,28,74690.73,3,small,525.4410255127564
11273.85,9214.32,46.41,2286.7,6794.65,9,1221.46,1,14134.13,0,micro,419.2810255127564
46984.0,18106.89,61.49,9049.14,10935.19,25,1800.15,33,72471.82,7,small,560.6870135067534
6332.48,4676.67,41.05,1510.98,3564.58,6,1059.0,1,37378.68,0,micro,437.2840270135068
65873.67,22156.75,80.43,26842.65,10300.29,36,1916.6,59,254228.12,12,medium,714.9350225112556
11140.59,5986.34,49.11,116.16,3490.77,11,1011.14,2,22985.37,0,micro,427.1970285142571
16271.9,9071.74,54.87,6321.22,4873.36,13,1202.54,21,67221.09,4,small,521.1340270135067
20078.1,13487.28,64.16,2462.65,6825.49,16,1221.1,30,43606.31,6,small,516.0070285142572
13945.2,9943.78,51.92,3118.49,6279.43,12,1182.75,10,41971.74,5,small,488.1170135067533
12362.05,6264.67,38.81,621.77,4084.8,11,1060.47,12,18666.44,0,small,427.8200300150075
35006.49,14130.63,61.09,4902.4,9827.73,21,1610.44,31,110977.92,8,small,564.4000150075037
7143.2,5975.8,40.97,1004.04,4777.38,6,1157.64,1,13161.14,0,micro,399.90303151575785
37074.13,11989.91,77.28,5983.81,7180.56,24,1629.12,55,250428.8,10,medium,693.378024012006
11221.55,9270.59,46.06,3092.42,5915.34,8,1398.16,1,9139.56,0,micro,412.72603301650827
6376.65,3098.25,49.98,2270.31,2501.03,8,758.68,3,31593.6,0,micro,459.23903451725863
16477.5,9000.27,62.72,4856.98,6621.86,9,1858.91,23,31071.79,4,small,522.7400300150075
2979.67,2547.47,35.95,727.66,1877.3,5,579.23,1,7875.32,0,micro,382.712036018009
15985.75,9849.64,62.41,3288.29,6964.98,9,1742.4,29,39358.76,8,small,520.5330315157579
16828.69,10080.07,51.2,1111.85,5889.28,11,1573.52,11,33639.85,0,small,481.30001500750376
34707.36,22045.85,72.05,10759.32,13474.01,23,1488.3,37,71854.65,4,small,546.4760330165083
13264.8,5328.0,59.5,3049.81,2718.69,10,1337.65,25,59329.81,4,small,532.3890345172587
36904.75,12989.88,71.8,7198.33,8247.17,26,1442.31,45,124140.03,8,small,604.1210255127564
12265.3,7964.66,45.33,2985.9,6202.3,9,1353.62,9,26540.01,0,small,455.6750375187594
35792.92,22010.55,66.35,12243.57,11774.75,23,1533.41,44,87378.6,8,small,562.4430165082541
15680.87,10003.9,61.18,7408.27,6543.5,12,1219.62,26,27397.67,3,small,507.35301650825414
15322.39,6703.37,45.12,856.19,4285.11,10,1450.44,18,18492.29,4,small,477.83601800900453
27069.44,10086.59,59.83,13876.47,5857.89,16,1609.84,34,57040.05,5,small,553.8760180090045
12719.7,9207.42,55.25,2609.5,6861.96,10,1179.79,12,13058.42,4,small,458.00803901950974
11482.31,4946.36,54.11,5089.28,3047.91,9,1290.19,15,43003.78,0,small,504.4990195097549
9992.38,5430.0,55.02,1577.28,3140.34,9,969.99,18,27658.5,1,small,484.31202101050525
37697.82,14684.34,66.78,12144.82,10434.27,22,1748.32,30,64530.93,7,small,574.109019509755
20996.91,7775.03,57.78,1734.98,4558.51,14,1521.22,27,41538.73,10,small,538.592036018009
4021.5,2422.33,36.33,1106.87,1669.92,6,733.64,1,13927.82,0,micro,407.9610405202601
79751.24,39662.68,81.13,48346.5,17347.64,46,1736.94,55,338837.09,9,medium,697.9940270135068
83744.91,42880.98,81.91,34494.18,26410.53,48,1764.2,65,162535.02,12,medium,691.4670285142571
12601.8,6136.58,50.9,426.67,4641.44,8,1476.35,14,41210.22,4,small,486.8250225112556
44206.72,13296.07,73.38,5238.87,6235.86,28,1617.12,43,153116.1,8,small,611.7000300150075
33116.49,14379.49,71.98,11021.13,8287.66,19,1776.09,38,64232.19,9,small,576.7020210105052
17814.24,10782.31,55.2,7940.72,6719.34,14,1268.31,22,23044.06,5,small,492.198024012006
15574.37,6344.47,68.0,2104.43,3756.93,12,1325.08,25,79407.29,3,small,555.3250225112556
71390.36,44685.67,65.52,30403.61,30386.07,41,1795.18,48,157337.63,8,small,583.428024012006
5473.66,4211.78,43.93,646.89,3185.43,6,770.06,1,29762.43,0,micro,414.19404202101055
37276.64,10631.34,66.67,4844.09,6103.79,19,1936.55,41,243366.84,8,small,604.3430315157578
95565.58,34276.59,81.12,55415.41,21975.04,52,1850.21,52,253708.24,11,medium,716.3560330165083
14160.43,9919.64,54.38,5014.29,5977.27,13,1080.51,14,32355.16,4,small,498.82102551275636
106024.04,35578.33,79.84,45985.27,23395.68,58,1860.39,55,187940.55,9,medium,696.7790345172587
24383.85,16136.26,71.64,10204.99,9816.97,15,1663.46,43,92622.73,7,small,557.5910255127563
64095.57,28875.96,72.33,23876.08,17336.67,36,1863.24,51,285610.03,10,medium,664.102036018009
13385.97,9788.19,67.11,1611.25,5706.71,10,1349.68,24,118981.72,3,small,528.6850375187594
7516.79,6084.62,53.55,2031.78,3746.89,7,1083.88,4,14534.0,2,micro,447.8970435217609
11967.85,6487.03,56.03,5441.55,4202.98,12,979.94,18,63927.83,5,small,519.8580390195098
3641.56,3459.48,35.73,36.42,2676.38,7,495.77,1,10137.91,0,micro,346.7000450225113
9987.51,8188.91,59.46,655.46,6439.86,7,1509.92,11,25093.07,4,small,470.70402701350673
33725.4,15908.16,72.93,12098.95,9415.19,20,1735.71,39,102310.14,9,small,592.2540270135067
12510.27,8994.38,42.11,3786.7,5460.09,11,1178.29,12,24592.87,8,small,461.71304652326165
34811.52,14116.91,65.21,5231.25,9943.03,22,1686.58,34,227333.93,7,small,595.2250375187593
120487.89,65039.49,86.22,72138.02,32878.47,64,1868.59,68,283304.29,12,medium,719.7480390195097
12846.66,9619.7,51.89,2870.26,5202.27,11,1211.67,15,25801.5,7,small,477.1970285142571
38261.65,25454.1,66.61,11045.84,18358.19,23,1586.33,33,92295.57,5,small,553.1670285142571
9507.68,8243.89,42.64,533.82,6228.99,8,1251.55,1,7859.36,0,micro,387.246048024012
32766.92,15244.5,71.63,11555.45,7977.91,22,1570.55,46,307854.25,9,small,619.3810405202601
30427.15,9185.29,66.79,13858.98,4552.26,24,1272.72,46,183924.41,8,small,609.0240420210106
12482.63,5832.58,50.25,2129.19,3219.35,7,1833.49,13,37121.0,4,small,507.1800300150075
6638.85,5168.68,51.54,66.39,3883.06,11,550.25,9,25501.39,0,small,431.99904952476237
13234.98,7663.49,55.29,2773.84,4696.37,11,1204.35,18,77212.59,1,small,508.89303151575785
7913.83,6416.33,42.19,1220.73,4993.96,8,1033.33,4,19715.26,0,micro,417.38205102551274
44062.55,23162.66,68.96,17561.93,15105.49,32,1448.77,39,173922.27,11,small,597.2670435217608
43415.7,22637.85,67.95,6560.01,15482.8,29,1489.82,50,117285.49,9,small,568.4100300150076
24744.55,11291.24,65.52,7391.48,8340.64,14,1773.54,29,60857.35,6,small,549.3630315157578
4233.79,3490.23,33.98,657.08,2930.39,9,469.83,1,10754.41,0,micro,382.98505252626313
98039.38,53941.26,82.35,29511.06,26355.47,51,1895.92,60,261506.52,9,medium,691.3000450225113
46312.1,25871.83,73.2,21059.94,15234.23,31,1582.62,37,138761.95,7,small,581.5160330165083
42823.28,26460.17,63.09,20907.4,19279.34,30,1375.71,30,50901.34,8,small,538.6710405202601
8136.88,4846.33,40.9,825.31,3519.09,11,719.75,1,10831.54,0,micro,407.2780540270135
18239.46,11856.85,61.1,6526.67,6382.36,12,1546.62,25,92230.36,6,small,536.3440420210105
20052.23,7055.32,63.64,8159.86,5177.14,17,1236.59,31,29913.27,8,small,542.1870435217609
26596.85,17850.11,62.99,6745.48,8982.36,21,1245.26,33,58498.37,5,small,529.5600450225113
33860.07,19928.38,66.67,16404.74,12563.31,19,1758.2,41,51251.43,6,small,544.5530465232616
15047.94,10768.25,45.48,2583.56,6812.23,8,1856.66,11,40346.31,2,small,470.51603301650823
14716.14,9046.41,52.8,4772.36,6529.83,13,1176.3,20,82807.83,5,small,501.0290345172586
11018.98,7274.87,45.75,872.37,4264.27,9,1219.93,15,54444.47,0,small,474.612036018009
10845.3,4987.08,52.34,531.53,3591.85,12,997.86,22,50761.69,4,small,498.26503751875936
5010.52,2733.7,33.41,1253.8,1990.06,7,720.04,1,13751.24,0,micro,415.1710555277639
53750.46,19060.86,78.42,12503.92,13191.86,33,1606.24,45,80491.25,10,small,614.5630465232616
35616.66,24334.12,69.83,16078.05,14891.3,23,1556.13,39,75538.83,8,small,557.6890345172586
36385.48,10701.8,67.96,5726.75,5571.9,26,1341.39,44,103713.23,9,small,597.996048024012
19551.86,7855.63,56.32,5589.48,4922.86,18,1116.49,23,112140.86,6,small,545.626048024012
35740.42,22064.21,64.9,14218.53,14655.15,22,1587.56,35,88395.7,6,small,557.6420360180091
14237.22,10078.35,58.74,5259.07,5349.48,10,1513.37,19,38350.88,2,small,502.55803901950975
44778.85,12454.02,86.84,18125.97,8042.24,27,1668.91,59,260825.76,11,medium,718.2390495247623
10892.66,5546.0,44.51,2081.33,4364.62,10,1162.67,4,13180.53,0,micro,431.30405702851425
6614.68,4553.6,45.16,1545.51,2603.55,11,604.99,1,13464.94,0,micro,419.7070585292646
22312.59,16226.96,54.72,10448.03,12204.08,20,1117.56,25,96669.45,6,small,518.8990495247623
39080.27,14238.58,59.18,18668.53,10528.0,23,1647.39,33,59348.39,8,small,553.9550375187594
93671.8,32677.31,89.91,53757.78,13321.55,49,1946.26,74,316973.41,13,medium,759.1820510255128
53098.96,23444.93,73.4,14050.18,13762.21,28,1870.1,47,118163.56,7,small,601.9450525262631
31254.04,17866.63,66.43,12752.95,9607.81,18,1747.8,43,102283.07,8,small,575.8880390195097
12770.73,6578.68,46.11,1050.82,4504.81,10,1266.95,16,28457.81,2,small,473.4210405202601
11474.87,8175.67,45.48,4328.91,6218.29,8,1501.8,8,13580.26,0,small,442.440060030015
10365.43,5684.3,44.51,1666.6,3748.56,10,1036.78,9,44260.1,0,small,467.94404202101055
27895.61,11943.11,67.31,8416.74,7688.28,15,1853.1,41,98311.4,8,small,575.01104052026
41802.6,23259.31,74.55,23904.82,13186.27,22,1973.97,48,58096.96,10,small,592.8040420210106
52106.58,18561.83,74.22,19748.92,10254.26,29,1833.09,46,130865.95,9,small,615.4680540270135
9840.24,5295.92,51.25,2736.12,3278.07,9,1058.16,11,17446.9,1,small,470.7270435217609
6556.18,5835.56,44.39,65.56,4440.1,5,1326.65,1,12621.54,0,micro,379.88306153076536
17522.83,9833.5,66.88,3025.07,6035.41,16,1126.67,31,34570.53,6,small,520.9320510255128
30242.08,15057.07,62.05,12220.81,9899.71,21,1429.42,37,135054.78,4,small,563.9870435217608
17352.54,10683.85,64.98,3992.62,6522.38,12,1386.26,33,101716.68,3,small,550.2200450225113
44912.43,28023.72,74.47,24944.9,16558.02,24,1856.64,41,151565.7,10,small,599.4010555277639
35607.22,16486.99,65.06,8198.46,9475.99,20,1715.56,42,178725.14,10,small,579.1230465232616
59518.34,23038.37,77.28,34752.77,15719.25,33,1830.75,56,211596.08,10,medium,684.5440570285142
60375.21,34714.52,65.81,12734.52,20564.78,35,1701.6,44,52000.4,11,small,558.466048024012
4760.63,4279.41,44.28,1323.39,2492.46,8,581.5,1,9953.95,0,micro,403.2160630315157
12354.57,7801.3,49.81,865.32,4355.62,10,1321.21,13,48072.11,0,small,486.0900450225113
19651.52,7667.86,53.06,8144.04,5548.71,16,1268.64,21,29847.66,8,small,528.6250525262631
79227.78,15845.56,79.93,34745.76,7040.02,47,1759.47,67,332679.27,16,medium,756.5970585292647
10102.05,7723.68,57.06,1172.1,5627.71,8,1266.69,17,23527.2,2,small,463.9690645322661
15667.97,6004.72,56.85,2731.82,4281.42,11,1458.56,20,40287.24,0,small,517.9480540270135
14500.9,10545.84,56.05,3764.02,7412.78,12,1220.41,24,88132.1,3,small,505.92304652326163
31406.48,18540.13,71.19,16703.95,11165.74,19,1660.97,41,99612.68,5,small,571.3090495247624
13038.62,9339.92,61.39,5695.38,7053.46,12,1075.05,24,69106.0,0,small,508.126048024012
33529.54,12194.34,64.43,15291.26,7514.53,20,1687.32,34,145803.97,6,small,586.5820510255128
5812.11,3171.8,40.48,656.04,2520.27,9,602.75,1,7802.18,2,micro,398.3820660330165
21636.76,12851.29,58.1,4481.66,6974.87,16,1345.86,30,110259.7,3,small,528.5210555277639
43520.2,12833.03,81.18,12452.23,5954.78,26,1723.76,51,249273.23,9,medium,708.750060030015
26514.02,11967.56,60.32,11377.21,6071.76,13,2012.15,38,140896.86,7,small,571.035052526263
20485.36,9886.25,57.14,5019.99,6459.93,18,1148.39,22,40969.48,2,small,511.4040570285142
52345.74,18733.17,70.25,24380.51,10286.22,29,1711.04,42,70612.23,5,small,591.5580540270136
43653.05,19450.29,67.61,11370.66,12045.72,26,1679.74,45,164831.68,5,small,582.451055527764
32869.75,21276.58,62.95,11102.44,12580.06,21,1618.44,36,141297.62,6,small,547.9270585292646
30651.12,14570.33,70.53,9385.68,9820.65,23,1219.01,40,144526.54,7,small,578.6340570285142
78346.27,37756.21,75.47,30351.65,22986.92,41,1913.71,49,223017.59,9,small,611.8730615307654
16504.05,8185.41,48.1,6951.41,5222.38,14,1091.68,13,31302.49,3,small,490.4690495247624
13096.71,6021.12,56.24,5106.79,3605.22,12,1087.56,16,27081.22,0,small,508.50205102551274
33702.86,12753.96,64.6,15253.93,7565.54,20,1607.11,39,81118.9,6,small,570.9970585292647
129748.67,42789.26,81.87,80911.94,23665.63,72,1752.69,60,265069.15,7,medium,719.6160630315158
19551.29,12088.97,63.32,9576.35,8072.0,14,1409.73,25,64688.97,4,small,537.940060030015
6052.11,4834.57,47.32,2257.53,3838.16,8,861.36,5,26819.0,0,micro,434.78506753376683
49204.9,23946.02,70.35,26655.64,11170.02,30,1546.41,53,142076.65,10,medium,642.6990645322662
21468.66,10673.69,52.55,2587.75,7844.94,13,1616.12,21,40691.58,4,small,501.22505252626314
18403.95,13872.64,56.52,1061.83,10202.01,19,999.13,20,32986.24,4,small,475.4280540270135
3848.3,3189.16,36.48,38.48,2637.98,7,590.71,1,3192.2,0,micro,340.0780690345173
23963.32,8851.03,57.82,11018.79,5365.49,18,1302.68,23,49078.85,6,small,542.0330615307654
37260.37,18601.5,66.08,19120.48,8845.92,21,1804.79,38,80268.62,10,small,576.000060030015
13629.57,8540.86,46.63,1247.5,6737.41,12,1185.05,6,27848.68,0,small,458.20107053526766
35842.86,23464.96,77.67,20366.47,15132.24,21,1740.06,48,93884.88,7,small,581.9230615307654
7640.66,4497.86,49.8,742.95,3554.44,6,1330.2,6,14702.82,2,small,438.99407203601805
8454.28,6342.37,53.59,1703.75,4499.2,8,1212.88,15,43207.36,2,small,471.1510555277639
12008.86,7871.19,44.76,249.71,6003.5,14,867.96,8,24140.42,0,small,428.7170735367684
11649.74,7306.76,56.63,1770.29,4947.77,10,1223.79,8,16744.09,4,small,472.62405702851424
5155.36,2642.4,41.23,51.55,2134.54,6,896.81,1,22864.53,2,micro,413.47007503751877
16025.63,6581.97,54.04,5092.05,4500.98,13,1200.33,19,36438.96,7,small,513.2860630315157
16058.15,10589.25,56.0,1987.63,7080.68,15,1069.9,23,30160.05,3,small,492.54705852926463
15851.85,6542.91,58.5,5403.57,3938.18,13,1224.06,21,29264.62,4,small,523.7290645322662
29005.9,16490.31,60.63,11984.97,10434.19,16,1893.36,35,105359.7,8,small,550.2660630315157
7521.78,6865.73,39.57,1099.87,4949.07,11,606.21,1,17510.78,0,micro,403.35307653826914
33572.23,12671.63,65.93,13229.17,8109.68,23,1464.0,36,48377.48,6,small,571.1990645322662
35492.92,23624.06,67.04,3554.02,17020.35,22,1613.44,39,85908.06,6,small,548.7520660330165
17765.66,12693.09,61.06,8058.42,7989.9,11,1663.35,28,39689.51,6,small,519.6520660330165
37012.34,16269.65,64.18,19699.07,9735.53,22,1715.23,42,211544.8,10,small,605.3720660330165
20630.91,10982.29,57.34,6351.38,6680.78,13,1607.22,26,53135.19,6,small,531.085067533767
42756.79,18629.43,83.73,25643.38,10250.3,25,1723.77,63,416857.03,13,medium,716.9850675337669
48381.54,30574.73,77.14,26095.12,15505.98,26,1821.28,47,194010.53,11,small,609.1680690345172
48312.37,26815.93,67.1,7479.2,13886.56,32,1485.89,42,189666.01,7,small,570.6350675337669
4871.68,3514.23,49.62,598.81,2669.65,7,644.85,1,11469.9,0,micro,418.2360780390195
18959.86,10130.86,57.71,5139.86,6382.33,16,1162.01,28,73465.36,7,small,528.7580690345172
29977.88,20466.71,75.86,6948.95,11533.74,22,1311.6,41,68327.27,13,small,573.5280690345172
61445.72,23441.03,72.49,8349.76,15604.09,32,1931.87,49,175960.83,7,small,597.5710705352676
15476.93,8338.59,57.89,7123.64,5267.33,15,1037.75,26,39215.59,4,small,513.1210705352677
123543.92,24708.78,75.35,78498.83,13579.96,67,1824.19,65,190130.66,12,medium,737.514072036018
20388.66,13744.15,58.67,6047.53,9647.36,12,1674.08,36,77655.33,3,small,526.334072036018
13142.49,7650.57,45.87,816.38,4111.13,8,1724.39,17,24467.99,3,small,469.740060030015
16838.6,11203.33,47.97,337.72,6215.61,14,1247.67,13,17119.3,1,small,451.0690795397699
32795.76,21816.49,65.85,16476.56,14162.33,21,1588.81,41,92207.14,9,small,556.6210705352677
51793.54,32684.46,73.3,25709.79,18582.8,32,1536.32,47,147135.51,7,small,587.154072036018
35836.6,18451.47,66.57,15545.45,9436.14,21,1674.19,37,58280.07,8,small,562.8470735367684
35534.9,23830.66,56.09,11981.56,16339.94,23,1560.77,23,28439.32,4,small,508.13306153076536
64053.01,23844.98,71.31,31054.2,12283.55,35,1808.3,51,130225.79,9,medium,664.8770735367684
7263.16,5919.02,42.33,1439.67,4461.27,7,1008.93,1,12409.06,2,micro,406.16208104052026
11175.54,7321.22,52.61,3153.44,5706.05,11,1052.27,17,29421.7,0,small,475.7660630315157
28675.94,9942.49,60.78,9839.08,7223.52,15,1865.17,28,134092.26,7,small,572.1600750375187
44381.23,20467.8,76.89,7184.72,10070.16,25,1803.12,45,79600.78,9,small,598.2800750375187
29250.41,16893.15,61.73,4447.46,10527.2,15,1883.22,36,50294.78,10,small,550.0430765382691
12212.23,7249.86,48.26,4196.02,4069.52,9,1345.27,8,25139.18,0,small,476.0590645322661
51479.14,16510.94,75.65,28979.42,10738.21,32,1567.09,51,208284.33,14,medium,702.1130765382692
82966.52,37751.92,72.66,24143.06,24131.67,44,1881.79,63,159898.86,15,medium,672.5060780390195
126411.49,26961.45,77.43,79004.96,15573.73,67,1823.92,62,240643.29,11,medium,743.3690795397699
30054.26,14754.81,68.16,6595.83,7877.05,21,1461.8,34,131051.67,5,small,571.2360780390195
160631.68,79181.7,78.24,40178.99,34269.83,84,1860.98,69,847693.34,10,medium,734.2920810405202
64827.74,40978.29,65.51,6654.07,23279.85,38,1780.9,41,91813.36,5,small,554.5590795397699
36659.22,23437.13,61.1,10948.13,15658.08,21,1794.24,33,54893.26,6,small,530.6370735367684
15607.27,7073.65,62.53,1111.51,5090.33,15,1103.58,30,37112.67,2,small,519.8500750375188
13515.57,9149.37,59.55,2232.61,5087.63,18,718.8,13,27402.6,3,small,482.0820660330165
14292.85,8194.46,58.03,3790.46,5211.08,13,1014.21,22,31750.28,4,small,496.89506753376685
12144.31,6656.82,59.89,4556.11,4028.63,13,908.19,34,87829.61,1,small,523.9330765382691
14810.22,10469.64,51.82,5881.15,5526.02,10,1413.22,21,43085.71,8,small,501.78806903451726
24251.76,16426.01,59.53,8282.97,9660.74,18,1374.2,31,41350.47,3,small,512.1460780390195
5971.6,3788.34,34.73,1884.54,2988.58,4,1504.01,1,10101.23,0,micro,403.70508254127066
44429.58,13161.19,70.61,6353.51,8348.01,30,1453.42,47,137697.74,7,small,607.7950825412706
6162.82,4218.08,39.88,2005.16,2991.92,9,783.75,1,14383.37,0,micro,414.868084042021
37913.36,22106.37,60.99,15670.48,11666.26,24,1597.79,35,57995.14,7,small,538.5290795397699
21564.4,14986.56,61.4,7108.35,10527.36,13,1690.41,30,57594.5,3,small,523.4420810405202
17612.5,12547.24,51.19,7437.46,7440.17,14,1259.3,25,46354.8,4,small,498.95107053526766
13318.75,5482.59,48.94,3550.97,3980.1,12,1084.36,17,33088.7,2,small,490.844072036018
36785.68,21488.73,70.06,10482.56,9856.69,19,1903.54,46,147685.74,5,small,580.6320810405202
21329.74,14608.19,64.02,4164.66,10361.75,15,1385.76,43,128959.51,7,small,545.2050825412706
54509.33,19016.17,65.66,7752.37,12598.65,32,1712.36,43,108849.29,6,small,583.3050825412706
21596.53,9180.28,54.13,5529.17,5076.98,16,1338.01,13,29160.24,4,small,511.26808404202103
51736.14,14774.32,73.51,17874.44,8586.37,27,1896.98,52,179465.53,10,medium,681.6380840420211
11440.58,9553.96,44.91,1069.52,7183.63,8,1373.87,8,20858.21,3,small,440.0210855427714
